ZIP3,STATE,POPULATION,AP,DENT,INN_AP,INN_DENT,FRAC_INN_AP,FRAC_INN_DENT,GP,PED,SURG,PERIO,ENDO,PROSTHO,PP_AP,PP_DENT,PP_GP,PP_PED,PP_SURG,PP_PERIO,PP_ENDO,PP_PROSTHO
140,NY,443902,543,411,214,149,0.394107,0.362530,124,8,3,2,4,2,817.499079,1080.053528,3579.854839,55487.750000,147967.333333,221951.000000,110975.500000,221951.000000
141,NY,198884,276,251,145,140,0.525362,0.557769,113,7,3,3,6,1,720.594203,792.366534,1760.035398,28412.000000,66294.666667,66294.666667,33147.333333,198884.000000
142,NY,565680,1201,716,585,303,0.487094,0.423184,242,14,22,9,13,8,471.007494,790.055866,2337.520661,40405.714286,25712.727273,62853.333333,43513.846154,70710.000000
143,NY,64424,80,76,25,25,0.312500,0.328947,23,0,2,0,0,0,805.300000,847.684211,2801.043478,999999.000000,32212.000000,999999.000000,999999.000000,999999.000000
144,NY,307057,300,258,60,54,0.200000,0.209302,50,1,1,7,1,1,1023.523333,1190.143411,6141.140000,307057.000000,307057.000000,43865.285714,307057.000000,307057.000000
145,NY,322572,470,339,193,116,0.410638,0.342183,102,0,6,10,0,2,686.323404,951.539823,3162.470588,999999.000000,53762.000000,32257.200000,999999.000000,161286.000000
146,NY,474812,1087,585,432,148,0.397424,0.252991,125,3,9,10,5,2,436.809568,811.644444,3798.496000,158270.666667,52756.888889,47481.200000,94962.400000,237406.000000
147,NY,174700,138,115,30,28,0.217391,0.243478,26,0,1,0,0,0,1265.942029,1519.130435,6719.230769,999999.000000,174700.000000,999999.000000,999999.000000,999999.000000
148,NY,283583,215,188,50,49,0.232558,0.260638,44,0,5,1,0,1,1318.990698,1508.420213,6445.068182,999999.000000,56716.600000,283583.000000,999999.000000,283583.000000
149,NY,48005,49,46,1,1,0.020408,0.021739,1,0,0,0,0,0,979.693878,1043.586957,48005.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
150,PA,449287,841,583,472,346,0.561237,0.593482,272,7,31,5,15,2,534.229489,770.646655,1651.790441,64183.857143,14493.129032,89857.400000,29952.466667,224643.500000
151,PA,368343,842,581,455,318,0.540380,0.547332,247,6,29,6,22,2,437.461995,633.981067,1491.267206,61390.500000,12701.482759,61390.500000,16742.863636,184171.500000
152,PA,685104,2082,1179,996,537,0.478386,0.455471,428,7,53,9,24,7,329.060519,581.089059,1600.710280,97872.000000,12926.490566,76122.666667,28546.000000,97872.000000
